Timestamp,Compressor_ID,Running_Status,Current_A,Power_kW,Pressure_bar,Flow_m3h,Temperature_C,Load_Percent
2026-01-02 05:00:00,CP-01,Running,55.51,26.85,6.89,428.36,31.79,84.21
2026-02-09 10:00:00,CP-04,Running,45.56,19.46,6.58,290.84,30.81,55.6
2026-02-23 03:00:00,CP-03,Running,57.33,29.0,7.09,435.14,31.59,86.93
2026-03-09 02:00:00,CP-03,Running,56.61,28.18,6.99,414.88,31.49,79.24
2026-03-08 12:00:00,CP-03,Running,55.28,27.22,6.89,400.06,29.12,74.14
2026-01-23 05:00:00,CP-04,Running,49.67,21.79,6.79,342.93,31.33,67.5
2026-01-22 06:00:00,CP-04,Running,50.49,22.06,6.77,320.92,31.29,65.62
2026-03-07 23:00:00,CP-04,Running,47.3,20.25,6.64,308.39,29.29,56.61
2026-01-09 16:00:00,CP-05,Running,47.92,24.1,6.78,359.54,28.84,66.57
2026-03-31 06:00:00,CP-05,Running,59.96,31.7,7.16,449.44,31.58,89.91
2026-01-01 19:00:00,CP-02,Running,46.87,20.77,6.56,292.12,28.47,57.79
2026-02-01 14:00:00,CP-03,Running,55.72,27.47,6.73,360.39,29.79,74.8
2026-01-06 23:00:00,CP-04,Running,46.98,20.21,6.64,312.9,28.57,58.53
2026-01-27 20:00:00,CP-03,Running,50.93,24.52,6.74,347.74,27.6,63.9
2026-03-19 06:00:00,CP-05,Running,59.02,31.03,7.28,417.56,31.01,87.35
2026-02-08 23:00:00,CP-02,Running,46.78,21.07,6.61,345.21,29.96,65.2
2026-03-19 08:00:00,CP-05,Running,58.82,31.1,7.23,458.92,31.59,90.02
2026-01-09 12:00:00,CP-04,Running,45.74,19.78,6.55,336.13,28.55,61.0
2026-03-01 15:00:00,CP-04,Running,45.25,19.34,6.59,287.07,28.22,55.79
2026-02-03 08:00:00,CP-05,Running,58.7,31.18,7.27,506.65,32.98,92.17
2026-03-28 04:00:00,CP-02,Running,54.13,24.59,6.75,337.31,30.64,69.14
2026-03-16 15:00:00,CP-02,Running,50.72,22.67,6.65,306.71,29.4,61.77
2026-03-03 17:00:00,CP-03,Running,51.08,24.67,6.67,338.47,28.55,65.2
2026-01-04 17:00:00,CP-03,Running,48.62,23.6,6.84,347.37,28.43,67.63
2026-01-01 10:00:00,CP-02,Running,49.72,22.49,6.8,352.75,31.48,67.23
2026-03-05 20:00:00,CP-04,Running,50.69,21.7,6.35,308.93,27.16,56.5
2026-03-12 01:00:00,CP-03,Running,54.77,27.13,6.86,437.15,31.73,76.88
2026-02-08 16:00:00,CP-02,Running,51.69,23.33,6.5,359.7,27.92,66.22
2026-02-06 07:00:00,CP-01,Running,53.65,25.56,7.06,418.94,33.6,77.15
2026-01-21 11:00:00,CP-05,Running,56.54,29.78,7.12,420.61,30.02,88.08
2026-03-27 01:00:00,CP-01,Running,51.45,24.31,6.87,349.7,30.41,73.17
2026-02-25 08:00:00,CP-01,Running,55.24,26.27,7.05,374.19,31.48,76.27
2026-03-27 13:00:00,CP-05,Running,53.14,27.13,6.79,363.7,30.37,73.51
2026-03-16 23:00:00,CP-04,Stopped,29.6,11.17,6.57,18.66,26.2,3.73
2026-02-11 21:00:00,CP-03,Running,50.97,24.85,6.78,366.82,30.11,69.6
2026-01-16 12:00:00,CP-01,Running,52.33,24.54,6.79,351.77,28.99,69.73
2026-01-04 23:00:00,CP-04,Running,48.16,20.78,6.63,327.93,29.16,59.94
2026-03-10 02:00:00,CP-03,Running,50.31,24.46,6.94,354.81,30.52,68.27
2026-02-20 16:00:00,CP-01,Running,50.68,23.69,6.74,346.22,26.99,68.35
2026-01-05 14:00:00,CP-02,Running,50.81,23.08,6.68,340.42,29.71,69.07
2026-03-25 06:00:00,CP-05,Running,55.45,28.61,7.19,372.93,30.96,78.43
2026-02-05 05:00:00,CP-01,Running,54.94,25.97,6.98,377.2,32.7,73.47
2026-02-07 01:00:00,CP-02,Running,54.81,24.98,6.65,358.94,31.39,70.6
2026-01-08 02:00:00,CP-04,Running,52.28,23.0,6.76,367.79,30.79,68.88
2026-02-26 08:00:00,CP-02,Running,54.62,25.19,6.84,395.53,32.53,76.16
2026-01-19 18:00:00,CP-02,Running,50.02,22.14,6.49,283.87,28.19,57.35
2026-01-26 06:00:00,CP-05,Running,58.86,30.94,7.17,429.92,31.52,87.13
2026-02-02 18:00:00,CP-01,Running,46.81,21.5,6.59,309.35,29.17,60.25
2026-01-06 04:00:00,CP-04,Running,51.03,22.25,6.67,322.55,31.36,64.76
2026-02-07 00:00:00,CP-04,Running,49.99,21.74,6.63,348.27,29.07,63.66
2026-01-21 13:00:00,CP-05,Running,49.32,25.17,6.78,359.28,28.94,73.19
2026-01-30 00:00:00,CP-02,Running,52.87,24.14,6.71,389.94,29.35,71.62
2026-01-19 22:00:00,CP-01,Running,51.48,24.15,6.83,353.41,29.06,70.01
2026-01-17 10:00:00,CP-01,Running,50.05,23.24,6.93,342.09,31.63,65.32
2026-02-23 13:00:00,CP-03,Running,50.05,24.16,6.89,334.35,29.79,65.05
2026-01-13 03:00:00,CP-04,Running,51.51,22.38,6.59,346.83,30.52,63.13
2026-03-15 08:00:00,CP-04,Running,54.46,23.96,6.77,345.59,32.14,68.88
2026-03-01 23:00:00,CP-05,Running,55.74,28.84,6.98,399.04,29.52,79.74
2026-01-18 05:00:00,CP-03,Running,57.01,28.87,6.96,440.63,32.73,87.35
2026-02-22 09:00:00,CP-02,Running,50.64,22.96,6.9,333.12,31.32,68.36
2026-02-16 08:00:00,CP-02,Running,52.74,24.0,6.95,340.17,31.79,70.07
2026-03-30 01:00:00,CP-04,Running,52.24,22.88,6.69,355.17,31.29,66.75
2026-01-21 22:00:00,CP-04,Running,44.98,19.23,6.39,274.33,28.79,56.04
2026-02-04 22:00:00,CP-04,Running,45.68,19.6,6.51,312.63,30.36,57.64
2026-01-30 18:00:00,CP-05,Running,52.69,26.93,6.83,387.91,28.18,74.0
2026-03-02 18:00:00,CP-03,Running,54.79,26.78,6.54,362.87,28.54,70.72
2026-03-15 23:00:00,CP-05,Running,54.56,28.23,6.94,402.0,29.63,79.63
2026-01-16 23:00:00,CP-03,Running,49.82,24.24,6.96,346.27,30.25,68.71
2026-02-14 08:00:00,CP-01,Running,51.08,24.39,7.01,393.37,31.76,78.09
2026-03-08 04:00:00,CP-04,Running,51.54,22.57,6.66,355.72,29.17,66.74
2026-03-12 12:00:00,CP-01,Running,49.04,22.99,6.86,376.79,28.98,69.5
2026-01-01 21:00:00,CP-01,Running,46.58,21.35,6.71,314.2,26.75,59.36
2026-02-27 11:00:00,CP-04,Running,45.05,19.21,6.57,286.78,30.1,54.81
2026-01-12 16:00:00,CP-02,Running,49.28,21.89,6.61,314.6,29.11,58.96
2026-01-06 01:00:00,CP-03,Running,56.55,28.03,6.88,414.78,29.09,77.2
